Time,p0,mDotSand,mDotS,Tbed2,rho_g2,D2,Ar2,w_e2,wmf2,FG2,FG3,Tleft,Tcenter,Tright,epsLeft,epsCenter,epsRight,AC1,AC2,AC1set,AC2set,air1,air2,air3,air4,h1,h2,h3,h4,h5,h6,w_p1,w_p2,w_p3,w_p4,w_p5,w_p6,Phi1,Phi2,Phi3,Phi4,Phi5,Phi6
00:00:00,101283.015625,0.75,1.5,329.439041137696,1.10514635300783,0.409909959885101,0,0.0779082906821175,0.028044370577922,3.77803669958102,4.5204657907673,329.9638671875,328.914215087891,341.273162841797,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206634071911552,0.0620593945069933,0.0543541497518407,0.01791268203683,0,0,0,0,0,0.000850408996863139,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232406572006793,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,645.420646691589
00:00:01,101285.4453125,0.75,1.5,329.439544677734,1.10508049987072,0.409909959885101,0,0.0779051856149474,0.0280443477478153,3.77792824120919,4.52237745483446,329.963134765625,328.915954589844,341.275268554688,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206632762401152,0.0620538645434836,0.0543699943633822,0.0179159271894439,0,0,0,0,0,0,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232822220039947,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,644.268403480833
00:00:02,101284.75,0.75,1.5,329.440032958984,1.10496076636065,0.409909959885101,0,0.0779321744336303,0.0280443336056443,3.77889200469165,4.52320581542706,329.962371826172,328.917694091797,341.277404785156,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206583253616314,0.0620629382758304,0.0543765415798405,0.0179186752939674,0,0,0,0,0,0,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232822220039947,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,644.268403480833
00:00:03,101286.28125,0.75,1.5,329.440536499023,1.10511463984492,0.409909959885101,0,0.0779306622630761,0.0280442793318313,3.77884346183294,4.52259143622483,329.961608886719,328.919464111328,341.279541015625,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206675874074995,0.0620706634890186,0.0543742864894151,0.0179173719749422,0,0,0,0,0,0,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232822220039947,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,644.268403480833
00:00:04,101287.8203125,0.75,1.5,329.441024780274,1.10518029187383,0.409909959885101,0,0.0779458063031357,0.0280442386604266,3.77938749726608,4.52206782457855,329.960845947266,328.921203613281,341.281677246094,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206691428343592,0.0620831976791315,0.0543711883660241,0.017919798656205,0,0,0,0,0,0,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232822220039947,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,644.268403480833
00:00:05,101292.1953125,0.75,1.5,329.441543579102,1.10539470836424,0.409909959885101,0,0.0779506749533183,0.0280441747458891,3.77956743814488,4.52050132686473,329.960113525391,328.922973632812,341.283782958984,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206749895121011,0.0620980573648246,0.0543663378582907,0.017917360975348,0,0,0,0,0,0,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232822220039947,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,644.268403480833
00:00:06,101283.4296875,0.75,1.5,329.442031860352,1.1050801687072,0.409909959885101,0,0.0779603673045221,0.0280441884809788,3.77991168677957,4.52389701152303,329.959350585938,328.924713134766,341.285919189453,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206744346702838,0.0620860721673216,0.0543873527821856,0.0179223149403791,0,0,0,0,0,0,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232822220039947,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,644.268403480833
00:00:07,101287.421875,0.75,1.5,329.442520141601,1.10508979719712,0.409909959885101,0,0.0780457288232567,0.0280441558269229,3.7829587492283,4.52043377055358,329.958587646484,328.926452636719,341.288055419922,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206856693459783,0.0621365900297485,0.0543481741708849,0.0179131591884029,0,0,0,0,0,0,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232822220039947,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,644.268403480833
00:00:08,101288.75,0.75,1.5,329.443023681641,1.10520434663388,0.409909959885101,0,0.0780476017876688,0.0280441071812547,3.78303036296472,4.52016191420945,329.957824707031,328.92822265625,341.290161132812,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206891508463539,0.0621440994839637,0.0543524592999887,0.017911311954314,0,0,0,0,0,0,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232822220039947,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,644.268403480833
00:00:09,101285.3125,0.75,1.5,329.443511962891,1.10502751244624,0.409909959885101,0,0.0780484079129192,0.0280441012103713,3.78305970041411,4.52279636560879,329.957061767578,328.929962158203,341.292297363281,0.488706304401855,0.491677163309544,0.494648022217234,0.600000023841858,0.600000023841858,0.4805,0.4805,0.0206826442015854,0.0621346249662156,0.0543720830164269,0.0179210875752369,0,0,0,0,0,0,0.00235559646612802,0.00235559646612802,0.00234182933972882,0.00234182933972882,0.00232822220039947,0.00232822220039947,636.781393404619,636.781393404619,640.524898442726,640.524898442726,644.268403480833,644.268403480833
