Time,ACset1,ACset2,AO1,AO2,Pmean1,T1,T3,T5,T6,T7,T8,Tco2bypass,Tco2hex1,Tco2hex2,Tco2split,p1,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p2,p20,p21,p3,p4,p5,p6,p7,p8,p9,speed1,w1
00:00:00,0.005,0.005,0.524510145187378,0.600000023841858,2009.03042584747,392.617736816406,409.114593505859,492.139678955078,401.597198486328,392.503753662109,336.180847167969,269.388885455661,458.562156846788,390.868743218316,393.338939751519,641.731262207031,3309.54467773438,3423.9873046875,3630.95336914062,3656.6875,4614.42041015625,4787.94580078125,4864.3017578125,4754.61279296875,21.2103519439697,239.650939941406,1096.669921875,125166.2265625,101327.2734375,682.10400390625,-23.2980289459229,-46.0668640136719,-32.0256080627441,66.5050964355469,296.650970458984,737.694213867188,20,4.24853610992432
00:00:01,0.005,0.005,0.524903297424316,0.600000023841858,2007.67045262222,392.617614746094,409.10986328125,492.156768798828,401.598083496094,392.503234863281,336.181945800781,269.388963868883,458.561834716797,390.868260023329,393.33965766059,670.018005371094,3305.32446289062,3419.76708984375,3630.5439453125,3650.58276367188,4645.9462890625,4816.66796875,4896.77783203125,4789.9189453125,33.2179298400879,242.121841430664,1115.5732421875,125163.21875,101319.5078125,662.810241699219,-50.6441421508789,-41.268440246582,-29.0474052429199,75.8261337280273,302.78564453125,777.157043457031,20,4.24856519699097
00:00:02,0.005,0.005,0.525296449661255,0.600000023841858,2007.65405881499,392.617492675781,409.105163574219,492.173706054688,401.598968505859,392.502716064453,336.183074951172,269.389043341743,458.561529541016,390.867768351237,393.340375569661,653.013122558594,3306.27783203125,3418.83618164062,3628.64013671875,3652.45922851562,4660.53173828125,4834.072265625,4915.12060546875,4806.44580078125,18.0739784240723,225.955093383789,1096.07531738281,125159.6875,101316.484375,646.357849121094,-36.7968711853027,-46.1739120483398,-38.1291122436523,67.945686340332,289.564544677734,727.559936523438,20,4.24859380722046
00:00:03,0.005,0.005,0.525689661502838,0.600000023841858,2006.69347674831,392.617370605469,409.100433349609,492.190643310547,401.599853515625,392.502166748047,336.184173583984,269.389122814602,458.561207411024,390.86728515625,393.341093478733,594.768005371094,3331.98217773438,3444.51733398438,3657.1669921875,3679.1171875,4678.65185546875,4852.2236328125,4930.44873046875,4821.728515625,30.4185352325439,240.214767456055,1100.80395507812,125231.4921875,101327.015625,719.520751953125,-46.4604110717773,-42.3744010925293,-32.4713478088379,70.5515441894531,299.378692626953,794.83154296875,20,4.24862289428711
00:00:04,0.005,0.005,0.526082813739777,0.600000023841858,2004.35629005774,392.617279052734,409.095703125,492.207550048828,401.600738525391,392.501647949219,336.185302734375,269.389201227824,458.560902235243,390.866793484158,393.341811387804,659.672119140625,3373.0361328125,3488.41723632812,3695.37915039062,3721.125,4698.7021484375,4869.408203125,4951.41845703125,4841.74755859375,39.9704132080078,256.438568115234,1107.0419921875,125310.0390625,101332.984375,700.2978515625,-43.1236381530762,-40.471752166748,-28.6398639678955,72.85107421875,310.071990966797,795.567443847656,20,4.2486515045166
00:00:05,0.005,0.005,0.526475965976715,0.600000023841858,2002.79293858636,392.617156982422,409.091003417969,492.224487304688,401.601623535156,392.501129150391,336.186401367188,269.389280700684,458.560580105252,390.866310289171,393.342529296875,633.363830566406,3365.56811523438,3480.0107421875,3689.822265625,3710.80346679688,4682.6123046875,4859.044921875,4939.15478515625,4828.52685546875,31.4717330932617,249.866485595703,1101.51062011719,125338.8828125,101331.1015625,705.004943847656,-28.9921417236328,-43.869686126709,-33.1883735656738,64.087890625,289.539947509766,749.980895996094,20,4.24868059158325
00:00:06,0.005,0.005,0.526869177818298,0.600000023841858,2003.55394386946,392.617034912109,409.086273193359,492.241424560547,401.602508544922,392.500610351562,336.187530517578,269.389359113905,458.56025797526,390.865818617079,393.343247205946,659.118286132812,3350.22314453125,3463.68334960938,3672.54125976562,3694.533203125,4699.4638671875,4873.931640625,4951.208984375,4843.52783203125,22.0780353546143,238.594039916992,1106.95324707031,125310.328125,101321.5546875,704.902099609375,-16.5478057861328,-43.0952796936035,-35.1186599731445,71.6715774536133,300.068878173828,762.969421386719,20,4.24870920181274
00:00:07,0.005,0.005,0.527262330055237,0.600000023841858,2001.82903023994,392.616912841797,409.08154296875,492.258361816406,401.603393554688,392.500061035156,336.188659667969,269.389438586765,458.559952799479,390.865335422092,393.343965115017,651.712829589844,3363.66064453125,3477.14965820312,3686.96118164062,3711.75708007812,4722.66748046875,4891.47021484375,4973.4873046875,4865.720703125,31.4717330932617,244.144348144531,1093.6904296875,125261.5078125,101319.71875,672.655822753906,-28.6106662750244,-41.5808334350586,-23.2700080871582,90.7911834716797,313.191436767578,817.502075195312,20,4.24873828887939
00:00:08,0.005,0.005,0.527655482292175,0.600000023841858,2004.12392565971,392.616790771484,409.076812744141,492.275268554688,401.604278564453,392.499542236328,336.189758300781,269.389516999986,458.559630669488,390.86484375,393.344673936632,710.413330078125,3321.24291992188,3434.77026367188,3644.58178710938,3669.3203125,4673.78515625,4840.73779296875,4923.70849609375,4812.126953125,21.4603805541992,243.554870605469,1113.16918945312,125214.4921875,101327.1015625,722.348693847656,-35.6459121704102,-44.8224258422852,-20.8584728240967,95.1714324951172,302.151641845703,809.351135253906,20,4.24876689910889
00:00:09,0.005,0.005,0.528048694133759,0.600000023841858,2003.95285984521,392.61669921875,409.072113037109,492.292205810547,401.605163574219,392.4990234375,336.190887451172,269.389596472846,458.559325493707,390.864360555013,393.345391845703,680.743103027344,3319.791015625,3432.326171875,3639.27661132812,3665.97998046875,4648.27978515625,4818.0361328125,4899.099609375,4791.3330078125,20.9811553955078,238.422210693359,1096.17004394531,125199.6484375,101327.4765625,626.916931152344,-42.7252616882324,-45.0141143798828,-38.1475563049316,86.9764251708984,289.539947509766,725.566467285156,20,4.24879598617554
00:00:10,0.005,0.005,0.528441846370697,0.600000023841858,2003.38002695805,392.616577148438,409.0673828125,492.309143066406,401.606048583984,392.498504638672,336.191986083984,269.389674886068,458.559003363715,390.863868882921,393.346109754774,717.129516601562,3308.54541015625,3422.03442382812,3629.96899414062,3653.76538085938,4618.12841796875,4792.63818359375,4870.87109375,4761.12060546875,23.0871696472168,237.697723388672,1108.12231445312,125179.125,101323.6328125,670.80615234375,-44.3331565856934,-44.9346580505371,-35.7914695739746,89.7078704833984,287.583679199219,762.712768554688,20,4.24882507324219
00:00:11,0.005,0.005,0.528834998607635,0.600000023841858,2002.98752595035,392.616455078125,409.062652587891,492.326049804688,401.60693359375,392.497955322266,336.193115234375,269.389754358927,458.558681233724,390.863385687934,393.346827663845,678.797607421875,3316.92993164062,3428.51147460938,3641.18408203125,3660.2578125,4637.7890625,4811.3603515625,4892.423828125,4777.02734375,35.2864875793457,246.051727294922,1112.66882324219,125192.0859375,101321.3984375,715.724426269531,-37.7660789489746,-40.8178825378418,-33.5698471069336,93.4615097045898,307.850769042969,760.662231445312,20,4.24885368347168
00:00:12,0.005,0.005,0.529228210449219,0.600000023841858,2005.50148064923,392.616333007812,409.057922363281,492.342987060547,401.607788085938,392.497436523438,336.194213867188,269.389833831787,458.558376057943,390.862894015842,393.347545572917,691.729614257812,3318.83715820312,3431.37255859375,3638.32299804688,3665.0263671875,4683.56591796875,4857.13720703125,4934.38623046875,4824.7119140625,32.425422668457,225.070571899414,1089.87561035156,125243.078125,101320.5859375,717.555480957031,-16.7849235534668,-40.8178825378418,-34.7142753601074,100.328071594238,288.776977539062,792.706176757812,20,4.24888277053833
00:00:13,0.005,0.005,0.529621362686157,0.600000023841858,2006.09688472025,392.6162109375,409.05322265625,492.359924316406,401.608673095703,392.496917724609,336.195343017578,269.389912245009,458.558053927951,390.862410820855,393.348263481988,722.056945800781,3331.23510742188,3445.67797851562,3655.48950195312,3678.3779296875,4693.10302734375,4865.720703125,4944.876953125,4831.3876953125,39.1012420654297,257.496002197266,1117.81872558594,125290.9609375,101328.953125,731.631958007812,-21.3626308441162,-38.5290298461914,-35.858699798584,91.9356079101562,278.858612060547,764.095520019531,20,4.24891138076782
