Author,Material,w,w_e,w_mf,FG,T_bed,p_bed,d_p,rho_p,eps_mf,phi_s,d_t,p_h,p_v,mDot_p,w_p,h
Wiman,Silica,NaN,0.2,0.31,NaN,293.15,400000,0.0007,2600,0.46,0.8,0.02,0.06,0.05,0,0,285.777976882863
Wiman,Silica,NaN,0.2,0.24,NaN,293.15,800000,0.0007,2600,0.46,0.8,0.02,0.06,0.05,0,0,352.743058895396
Wiman,Silica,NaN,0.2,0.18,NaN,293.15,1600000,0.0007,2600,0.46,0.8,0.02,0.06,0.05,0,0,467.027720968486
Wiman,Silica,NaN,0.6,0.42,NaN,293.15,100000,0.0007,2600,0.46,0.8,0.02,0.06,0.05,0,0,209.906878472496
Wiman,Silica,NaN,0.6,0.38,NaN,293.15,200000,0.0007,2600,0.46,0.8,0.02,0.06,0.05,0,0,231.943031536116
Wiman,Silica,NaN,0.6,0.31,NaN,293.15,400000,0.0007,2600,0.46,0.8,0.02,0.06,0.05,0,0,297.30025823617
Wiman,Silica,NaN,0.6,0.24,NaN,293.15,800000,0.0007,2600,0.46,0.8,0.02,0.06,0.05,0,0,374.990218326944
Wiman,Silica,NaN,0.6,0.18,NaN,293.15,1600000,0.0007,2600,0.46,0.8,0.02,0.06,0.05,0,0,460.755927693874
Wiman,Silica,NaN,0.2,0.22,NaN,293.15,100000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,276.403516756718
Wiman,Silica,NaN,0.2,0.2,NaN,293.15,200000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,305.553766776165
Wiman,Silica,NaN,0.2,0.18,NaN,293.15,400000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,316.24777952347
Wiman,Silica,NaN,0.2,0.15,NaN,293.15,800000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,338.675049938091
Wiman,Silica,NaN,0.2,0.12,NaN,293.15,1600000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,333.480444972867
Wiman,Silica,NaN,0.6,0.22,NaN,293.15,100000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,267.507692307693
Wiman,Silica,NaN,0.6,0.2,NaN,293.15,200000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,303.876923076923
Wiman,Silica,NaN,0.6,0.18,NaN,293.15,400000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,254.830769230769
Wiman,Silica,NaN,0.6,0.15,NaN,293.15,800000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,302.953846153846
Wiman,Silica,NaN,0.6,0.12,NaN,293.15,1600000,0.00045,2600,0.46,0.8,0.02,0.0425,0.05,0,0,368.492307692308
Wiman,Silica,NaN,0.2,0.42,NaN,293.15,100000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,234.253121627871
Wiman,Silica,NaN,0.2,0.38,NaN,293.15,200000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,243.379065823956
Wiman,Silica,NaN,0.2,0.31,NaN,293.15,400000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,283.027593648836
Wiman,Silica,NaN,0.2,0.24,NaN,293.15,800000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,312.563588715893
Wiman,Silica,NaN,0.2,0.18,NaN,293.15,1600000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,315.831663326653
Wiman,Silica,NaN,0.6,0.42,NaN,293.15,100000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,220.025034237716
Wiman,Silica,NaN,0.6,0.38,NaN,293.15,200000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,245.29163821928
Wiman,Silica,NaN,0.6,0.31,NaN,293.15,400000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,264.394727028537
Wiman,Silica,NaN,0.6,0.24,NaN,293.15,800000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,289.036782127419
Wiman,Silica,NaN,0.6,0.18,NaN,293.15,1600000,0.0007,2600,0.46,0.8,0.02,0.0425,0.05,0,0,373.779597047851
