Time,ACset1,ACset2,AO1,AO2,Pmean1,T1,T3,T5,T6,T7,T8,Tco2bypass,Tco2hex1,Tco2hex2,Tco2split,p1,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p2,p20,p21,p3,p4,p5,p6,p7,p8,p9,speed1,w1
00:00:00,0.005,0.005,0.600000023841858,0.600000023841858,1098.77527447508,439.294097900391,480.411987304688,524.623168945312,511.918243408203,432.494659423828,346.235382080078,441.721251763238,571.15303141276,429.291442192925,455.478940700955,630.980346679688,1897.90979003906,1904.57995605469,1956.07336425781,1960.84753417969,3430.5224609375,3468.65844726562,3497.29760742188,3407.66235351562,-52.3839454650879,5.80831003189087,978.279113769531,122210.9296875,101324.984375,668.678833007812,-2.26357460021973,-3.40800142288208,-10.2768592834473,-30.4904670715332,8.80381202697754,9.95513343811035,2,3.14657592773438
00:00:01,0.005,0.005,0.600000023841858,0.600000023841858,1101.45415972033,439.304504394531,480.423553466797,524.674377441406,511.937408447266,432.492126464844,346.239562988281,441.738155110677,571.147504340278,429.286898464627,455.498460557726,705.614929199219,1897.84460449219,1905.46655273438,1956.01586914062,1962.68786621094,3438.05981445312,3473.35424804688,3502.91845703125,3415.16748046875,-53.3720016479492,8.59472465515137,972.300048828125,122214.6328125,101328.6171875,642.687072753906,-2.66264533996582,-3.80553531646729,-10.2936935424805,-29.7504825592041,9.54149913787842,11.4488763809204,2,3.14646697044373
00:00:02,0.005,0.005,0.600000023841858,0.600000023841858,1103.70224413256,439.314910888672,480.435150146484,524.806579589844,511.956573486328,432.489593505859,346.243713378906,441.755058458116,571.121598307292,429.282337782118,455.517962239583,666.214660644531,1898.70568847656,1906.36474609375,1956.91027832031,1961.73803710938,3420.28393554688,3460.25,3487.96630859375,3400.22705078125,-48.7270584106445,12.4275960922241,974.061706542969,122203.453125,101327.1640625,669.392028808594,-1.89552128314972,-3.08737373352051,-10.3235530853271,-28.2410469055176,11.0509347915649,11.8375978469849,2,3.14635801315308
00:00:03,0.005,0.005,0.600000023841858,0.600000023841858,1101.00859660694,439.325317382812,480.446716308594,524.849426269531,511.975738525391,432.487091064453,346.247894287109,441.771961805556,571.117224121094,429.277794053819,455.554875488281,678.278503417969,1884.810546875,1889.60571289062,1940.17785644531,1946.82702636719,3399.3486328125,3437.44287109375,3467.03369140625,3377.44067382812,-57.9073066711426,2.17509412765503,974.291259765625,122169.3046875,101328.1328125,649.327575683594,-4.49203729629517,-5.26569700241089,-12.8737907409668,-31.9689846038818,7.68305397033691,11.5513525009155,2,3.14624905586243
00:00:04,0.005,0.005,0.600000023841858,0.600000023841858,1103.69462867046,439.335754394531,480.458312988281,524.889465332031,511.994903564453,432.484558105469,346.252044677734,441.803717041016,571.112849934896,429.273233371311,455.577993977865,694.919677734375,1889.07446289062,1893.79711914062,1948.18017578125,1952.01794433594,3423.19311523438,3459.47924804688,3489.97436523438,3403.18872070312,-48.8213729858398,12.1918096542358,973.053344726562,122181.8046875,101324.140625,692.650634765625,-6.03947448730469,-6.43011236190796,-13.6781482696533,-29.8009033203125,9.11876487731934,9.51856517791748,2,3.14614009857178
00:00:05,0.005,0.005,0.600000023841858,0.600000023841858,1101.38468327377,439.346160888672,480.469879150391,524.929565429688,512.014099121094,432.482025146484,346.256225585938,441.822315809462,571.108475748698,429.268689643012,455.601112467448,705.905395507812,1889.37268066406,1895.07556152344,1947.50927734375,1953.2314453125,3434.00366210938,3468.35546875,3496.05078125,3410.14208984375,-53.2915649414062,4.8642897605896,977.292419433594,122214.0625,101324.4296875,685.152099609375,-4.54703569412231,-4.54703569412231,-11.8027391433716,-30.884183883667,8.04165649414062,7.69085168838501,2,3.14603114128113
00:00:06,0.005,0.005,0.600000023841858,0.600000023841858,1097.70606359609,439.356567382812,480.721374511719,524.969604492188,512.033264160156,432.4794921875,346.260375976562,441.840558539497,571.10406765408,429.264128960504,455.624230957031,694.535766601562,1910.93176269531,1916.63854980469,1969.10681152344,1973.85986328125,3458.73803710938,3496.83959960938,3524.51171875,3434.9111328125,-50.6222152709961,11.352219581604,973.294738769531,122263.609375,101322.890625,656.871154785156,-3.07021355628967,-3.07634997367859,-10.699725151062,-29.7735023498535,9.88768196105957,9.86927318572998,2,3.14592218399048
00:00:07,0.005,0.005,0.600000023841858,0.600000023841858,1098.41207551334,439.366973876953,480.846618652344,525.009704589844,512.052429199219,432.476989746094,346.264556884766,441.858801269531,571.099693467882,429.259585232205,455.647331271701,680.759643554688,1907.408203125,1912.20739746094,1964.61437988281,1971.29016113281,3460.04418945312,3496.26928710938,3525.84887695312,3437.1865234375,-58.1291847229004,2.93746519088745,972.741271972656,122290.71875,101324.5703125,699.668884277344,-4.94695854187012,-5.70990943908691,-12.5825805664062,-32.4070854187012,7.26025915145874,7.26637125015259,2,3.14581322669983
00:00:08,0.005,0.005,0.600000023841858,0.600000023841858,1101.02558494547,439.377410888672,481.196502685547,525.069519042969,512.071594238281,432.474456787109,346.268707275391,441.877060953776,571.095319281684,429.255024549696,455.670449761285,703.201232910156,1907.412109375,1913.12280273438,1965.56420898438,1972.22863769531,3464.82055664062,3501.99145507812,3532.52099609375,3438.14013671875,-52.4414215087891,4.80284595489502,972.940734863281,122291.0625,101325.9453125,661.033630371094,-4.20540475845337,-4.97294282913208,-12.2163906097412,-32.0210113525391,8.02015972137451,9.1554126739502,2,3.14570426940918
00:00:09,0.005,0.005,0.600000023841858,0.600000023841858,1106.42190139028,439.387817382812,481.199981689453,525.055786132812,512.090759277344,432.471923828125,346.272888183594,441.895303683811,571.090911187066,429.250480821398,455.706454264323,629.073486328125,1892.19543457031,1896.98693847656,1950.35510253906,1954.20056152344,3438.21704101562,3474.44189453125,3505.91357421875,3414.35180664062,-60.0517196655273,-1.87669920921326,972.371215820312,122235.90625,101330.109375,645.652648925781,-6.86042404174805,-6.8665599822998,-14.114595413208,-33.5637130737305,5.72826910018921,8.01405429840088,2,3.14559531211853
