Author,Ar,pi1,pi2,pi3,pi4,pi5,pi6,pi7,pi8,pi9,pi10
Eder,1.8e+02,2.0e-02,9.2e-01,7.1e-01,4.7e-04,4.5e+00,3.3e+00,5.9e-01,1.1e+04,3.6e-01,0.0e+00
Grewal,4.4e+02,1.3e-02,9.3e-01,7.1e-01,3.0e-04,9.6e+00,5.2e+00,4.9e-01,7.6e+03,1.1e-01,0.0e+00
Kim (2003),1.3e+03,1.6e-02,9.7e-01,7.1e-01,4.6e-04,1.4e+00,9.4e+00,5.2e-01,1.5e+04,3.2e-01,0.0e+00
Kim (2013),1.3e+03,1.5e-02,9.7e-01,7.1e-01,4.6e-04,8.2e-01,8.8e+00,5.2e-01,1.5e+04,3.2e-01,0.0e+00
Olsson,3.3e+04,1.4e-02,9.8e-01,7.1e-01,4.7e-04,3.9e+01,3.3e+01,5.4e-01,1.2e+04,3.3e-01,0.0e+00
Wiman,8.3e+03,1.4e-02,9.7e-01,7.1e-01,4.6e-04,4.0e+01,2.2e+01,5.4e-01,1.2e+04,3.3e-01,0.0e+00
