Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
18-Aug-2016 13:05:21,307.6,333.15,0.768464,0.467582,210.552,33.8,0,0.02,NaN
18-Aug-2016 13:05:22,307.55,333.15,0.768463,0.467504,209.11,33.7,0,0.02,NaN
18-Aug-2016 13:05:23,307.55,333.2,0.768463,0.458904,204.146,32.9,0,0.02,NaN
18-Aug-2016 13:05:24,307.55,333.2,0.750738,0.467599,193.598,31.2,0,0.02,NaN
18-Aug-2016 13:05:25,307.55,333.2,0.762927,0.465686,193.598,31.2,0,0.02,NaN
18-Aug-2016 13:05:26,307.55,333.2,0.750747,0.47475,193.354,31.1,0,0.02,NaN
18-Aug-2016 13:05:27,307.55,333.15,0.768473,0.468262,199.803,32.2,0,0.02,NaN
18-Aug-2016 13:05:28,307.5,333.1,0.750748,0.477535,222.575,35.8,0,0.02,NaN
18-Aug-2016 13:05:29,307.5,333.1,0.762934,0.477542,225.683,36.3,0,0.02,NaN
18-Aug-2016 13:05:30,307.45,333.1,0.762933,0.47835,227.105,36.6,0,0.02,NaN
18-Aug-2016 13:05:31,307.45,333.1,0.762934,0.473338,227.105,36.6,0,0.02,NaN
18-Aug-2016 13:05:32,307.45,333.15,0.73967,0.477816,220.47,35.6,0,0.02,NaN
18-Aug-2016 13:05:33,307.45,333.2,0.739671,0.477455,209.323,33.8,0,0.02,NaN
18-Aug-2016 13:05:34,307.45,333.15,0.73967,0.48228,204.988,33.1,0,0.02,NaN
18-Aug-2016 13:05:35,307.45,333.2,0.722499,0.468458,193.464,31.3,0,0.02,NaN
18-Aug-2016 13:05:36,307.4,333.2,0.728592,0.483196,193.089,31.3,0,0.02,NaN
18-Aug-2016 13:05:37,307.4,333.2,0.73413,0.478115,202.342,32.8,0,0.02,NaN
18-Aug-2016 13:05:38,307.4,333.15,0.750747,0.478766,197.173,31.9,0,0.02,NaN
18-Aug-2016 13:05:39,307.4,333.1,0.734129,0.473638,220.47,35.6,0,0.02,NaN
18-Aug-2016 13:05:40,307.35,333.1,0.750746,0.479108,225.605,36.5,0,0.02,NaN
18-Aug-2016 13:05:41,307.35,333.1,0.73413,0.474041,224.987,36.4,0,0.02,NaN
18-Aug-2016 13:05:42,307.35,333.1,0.739668,0.47942,226.223,36.6,0,0.02,NaN
18-Aug-2016 13:05:43,307.35,333.1,0.73413,0.478787,225.605,36.5,0,0.02,NaN
18-Aug-2016 13:05:44,307.35,333.1,0.734129,0.479373,225.605,36.5,0,0.02,NaN
18-Aug-2016 13:05:45,307.35,333.15,0.739668,0.4696,223.317,36.2,0,0.02,NaN
18-Aug-2016 13:05:46,307.35,333.15,0.745207,0.479684,208.511,33.8,0,0.02,NaN
18-Aug-2016 13:05:47,307.35,333.15,0.739668,0.479577,206.661,33.5,0,0.02,NaN
18-Aug-2016 13:05:48,307.35,333.15,0.745207,0.479886,203.576,33,0,0.02,NaN
18-Aug-2016 13:05:49,307.35,333.2,0.750746,0.469415,208.108,33.8,0,0.02,NaN
18-Aug-2016 13:05:50,307.35,333.15,0.768471,0.479176,199.258,32.3,0,0.02,NaN
18-Aug-2016 13:05:51,307.35,333.15,0.768471,0.479474,198.024,32.1,0,0.02,NaN
18-Aug-2016 13:05:52,307.35,333.15,0.750746,0.478884,202.342,32.8,0,0.02,NaN
18-Aug-2016 13:05:53,307.35,333.15,0.750746,0.469785,208.511,33.8,0,0.02,NaN
18-Aug-2016 13:05:54,307.35,333.1,0.745206,0.479375,225.605,36.5,0,0.02,NaN
18-Aug-2016 13:05:55,307.35,333.1,0.734128,0.480176,225.605,36.5,0,0.02,NaN
18-Aug-2016 13:05:56,307.35,333.1,0.739667,0.474947,225.605,36.5,0,0.02,NaN
18-Aug-2016 13:05:57,307.35,333.1,0.739667,0.470819,225.605,36.5,0,0.02,NaN
18-Aug-2016 13:05:58,307.35,333.1,0.739667,0.479988,225.605,36.5,0,0.02,NaN
18-Aug-2016 13:05:59,307.35,333.1,0.745206,0.47582,226.223,36.6,0,0.02,NaN
18-Aug-2016 13:06:00,307.35,333.15,0.739666,0.480245,208.511,33.8,0,0.02,NaN
18-Aug-2016 13:06:01,307.35,333.15,0.745206,0.47097,209.128,33.9,0,0.02,NaN
18-Aug-2016 13:06:02,307.35,333.15,0.745206,0.480291,206.661,33.5,0,0.02,NaN
