Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
03-May-2016 09:23:20,314.45,328.2,0.912808,1.11789,247.71,21.4,0,0.02,NaN
03-May-2016 09:23:21,314.45,328.2,0.912809,1.11929,250.025,21.6,0,0.02,NaN
03-May-2016 09:23:22,314.45,328.2,0.918174,1.09517,251.183,21.7,0,0.02,NaN
03-May-2016 09:23:23,314.5,328.2,0.927117,1.09552,248.614,21.4,0,0.02,NaN
03-May-2016 09:23:24,314.5,328.2,0.940531,1.09501,248.614,21.4,0,0.02,NaN
03-May-2016 09:23:25,314.55,328.2,0.918174,1.09546,250.691,21.5,0,0.02,NaN
03-May-2016 09:23:26,314.5,328.2,0.945449,1.096,252.1,21.7,0,0.02,NaN
03-May-2016 09:23:27,314.55,328.2,0.963335,1.09585,249.525,21.4,0,0.02,NaN
03-May-2016 09:23:28,314.55,328.25,0.968253,1.09505,240.765,20.8,0,0.02,NaN
03-May-2016 09:23:29,314.5,328.2,0.945449,1.09475,234.673,20.2,0,0.02,NaN
03-May-2016 09:23:30,314.55,328.25,0.903866,1.09585,242.806,20.9,0,0.02,NaN
03-May-2016 09:23:31,314.45,328.2,0.918174,1.09478,223.402,19.3,0,0.02,NaN
03-May-2016 09:23:32,314.45,328.25,0.903866,1.12002,224.9,19.5,0,0.02,NaN
03-May-2016 09:23:33,314.45,328.25,0.931588,1.09727,224.9,19.5,0,0.02,NaN
03-May-2016 09:23:34,314.4,328.25,0.958863,1.09756,226.053,19.6,0,0.02,NaN
03-May-2016 09:23:35,314.3,328.2,0.954392,1.09843,224.427,19.6,0,0.02,NaN
03-May-2016 09:23:36,314.2,328.25,0.918174,1.12189,222.823,19.6,0,0.02,NaN
03-May-2016 09:23:37,314.2,328.2,0.885533,1.09892,222.031,19.6,0,0.02,NaN
03-May-2016 09:23:38,314.15,328.2,0.918174,1.10099,221.243,19.6,0,0.02,NaN
03-May-2016 09:23:39,314,328.2,0.903866,1.1227,218.212,19.4,0,0.02,NaN
03-May-2016 09:23:40,313.85,328.15,0.89045,1.10512,215.923,19.4,0,0.02,NaN
