Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
22-Jun-2016 14:01:33,314.35,333.15,0.613862,0.600116,623.75,92.1,0,0.025,NaN
22-Jun-2016 14:01:34,314.35,333.15,0.640197,0.605937,631.2,93.2,0,0.025,NaN
22-Jun-2016 14:01:35,314.35,333.2,0.642034,0.606013,595.306,87.9,0,0.025,NaN
22-Jun-2016 14:01:36,314.3,333.2,0.563643,0.605912,575.314,85.4,0,0.025,NaN
22-Jun-2016 14:01:37,314.4,333.3,0.596561,0.606495,576.84,85.4,0,0.025,NaN
22-Jun-2016 14:01:38,314.4,333.3,0.649842,0.606817,550.388,81.7,0,0.025,NaN
22-Jun-2016 14:01:39,314.4,333.3,0.602685,0.606602,580.704,86.2,0,0.025,NaN
22-Jun-2016 14:01:40,314.4,333.35,0.615393,0.593446,555.655,82.7,0,0.025,NaN
22-Jun-2016 14:01:41,314.4,333.4,0.649842,0.606606,570.276,85.1,0,0.025,NaN
22-Jun-2016 14:01:42,314.4,333.4,0.655967,0.60649,562.234,83.9,0,0.025,NaN
22-Jun-2016 14:01:43,314.4,333.3,0.623201,0.607046,538.186,80.1,0,0.025,NaN
22-Jun-2016 14:01:44,314.45,333.35,0.634072,0.607179,555.104,82.4,0,0.025,NaN
22-Jun-2016 14:01:45,314.45,333.3,0.623201,0.606726,541.041,80.1,0,0.025,NaN
22-Jun-2016 14:01:46,314.4,333.3,0.582475,0.606948,578.683,85.9,0,0.025,NaN
22-Jun-2016 14:01:47,314.45,333.3,0.555834,0.593658,591.7,87.6,0,0.025,NaN
22-Jun-2016 14:01:48,314.45,333.3,0.615393,0.606422,586.972,86.9,0,0.025,NaN
22-Jun-2016 14:01:49,314.45,333.3,0.618455,0.606631,534.962,79.2,0,0.025,NaN
22-Jun-2016 14:01:50,314.5,333.35,0.598091,0.607054,532.26,78.8,0,0.025,NaN
22-Jun-2016 14:01:51,314.5,333.3,0.606053,0.600684,537.739,79.4,0,0.025,NaN
22-Jun-2016 14:01:52,314.5,333.3,0.598092,0.60058,532.321,78.6,0,0.025,NaN
22-Jun-2016 14:01:53,314.5,333.3,0.624732,0.614065,535.637,79.3,0,0.025,NaN
22-Jun-2016 14:01:54,314.5,333.3,0.593344,0.594539,537.739,79.4,0,0.025,NaN
22-Jun-2016 14:01:55,314.5,333.3,0.610643,0.604592,532.998,78.7,0,0.025,NaN
22-Jun-2016 14:01:56,314.5,333.2,0.59181,0.600598,565.807,83.1,0,0.025,NaN
22-Jun-2016 14:01:57,314.5,333.1,0.599619,0.600756,566.641,83,0,0.025,NaN
22-Jun-2016 14:01:58,314.5,333.05,0.613858,0.593929,631.47,92,0,0.025,NaN
22-Jun-2016 14:01:59,314.5,333,0.612174,0.600746,600.83,87.3,0,0.025,NaN
22-Jun-2016 14:02:00,314.5,332.95,0.632537,0.600865,616.26,89.3,0,0.025,NaN
22-Jun-2016 14:02:01,314.55,332.95,0.646624,0.593852,621.395,89.8,0,0.025,NaN
22-Jun-2016 14:02:02,314.6,332.95,0.607581,0.607071,622.394,89.7,0,0.025,NaN
22-Jun-2016 14:02:03,314.5,332.95,0.623198,0.600898,620.703,89.7,0,0.025,NaN
22-Jun-2016 14:02:04,314.55,332.95,0.615389,0.600329,615.167,88.9,0,0.025,NaN
22-Jun-2016 14:02:05,314.6,332.95,0.629322,0.594274,620.011,89.6,0,0.025,NaN
22-Jun-2016 14:02:06,314.5,333,0.64203,0.600449,611.43,88.6,0,0.025,NaN
