Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
19-Jan-2016 14:55:00,298.15,327.75,0.558817,0.797805,464.036,86.3,0,0.02,NaN
19-Jan-2016 14:55:01,298.15,327.9,0.59249,0.783647,418.897,78.3,0,0.02,NaN
19-Jan-2016 14:55:02,298.15,328.05,0.586011,0.805154,416.796,78.3,0,0.02,NaN
19-Jan-2016 14:55:03,298.15,328.25,0.598973,0.804619,370.667,70.1,0,0.02,NaN
19-Jan-2016 14:55:04,298.2,328.35,0.597702,0.805321,331.517,62.8,0,0.02,NaN
19-Jan-2016 14:55:05,298.15,328.55,0.59516,0.80584,328.267,62.7,0,0.02,NaN
19-Jan-2016 14:55:06,298.15,328.65,0.570382,0.806341,306.317,58.7,0,0.02,NaN
19-Jan-2016 14:55:07,298.25,328.7,0.576862,0.792584,289.571,55.4,0,0.02,NaN
19-Jan-2016 14:55:08,298.2,328.75,0.622353,0.82245,289.144,55.5,0,0.02,NaN
19-Jan-2016 14:55:09,298.15,328.75,0.604182,0.807879,255.384,49.1,0,0.02,NaN
19-Jan-2016 14:55:10,298,328.85,0.549796,0.808517,252.798,49,0,0.02,NaN
19-Jan-2016 14:55:11,298.2,328.75,0.576862,0.809936,256.323,49.2,0,0.02,NaN
19-Jan-2016 14:55:12,298.2,328.55,0.632645,0.823627,273.22,52.1,0,0.02,NaN
19-Jan-2016 14:55:13,298.15,328.4,0.588679,0.823627,310.427,59,0,0.02,NaN
19-Jan-2016 14:55:14,298.2,328.1,0.591216,0.803026,341.208,64.1,0,0.02,NaN
19-Jan-2016 14:55:15,298.15,327.85,0.627556,0.810773,395.488,73.8,0,0.02,NaN
19-Jan-2016 14:55:16,298.2,327.65,0.617136,0.800608,438.297,81.1,0,0.02,NaN
19-Jan-2016 14:55:17,298.15,327.55,0.592484,0.79908,444.456,82.1,0,0.02,NaN
19-Jan-2016 14:55:18,298.2,327.6,0.55881,0.785012,459.614,84.9,0,0.02,NaN
19-Jan-2016 14:55:19,298.3,327.6,0.588672,0.812868,477.479,87.9,0,0.02,NaN
19-Jan-2016 14:55:20,298.15,327.65,0.589943,0.812211,465.07,86.2,0,0.02,NaN
19-Jan-2016 14:55:21,298.25,327.65,0.560082,0.812511,466.652,86.2,0,0.02,NaN
19-Jan-2016 14:55:22,298.25,327.85,0.576855,0.812703,450.594,83.8,0,0.02,NaN
19-Jan-2016 14:55:23,298.25,327.95,0.528948,0.800242,413.172,77.1,0,0.02,NaN
19-Jan-2016 14:55:24,298.25,328.15,0.582191,0.813842,391.778,73.6,0,0.02,NaN
19-Jan-2016 14:55:25,298.3,328.25,0.58092,0.7861,366.147,68.9,0,0.02,NaN
19-Jan-2016 14:55:26,298.2,328.45,0.593755,0.813842,323.581,61.5,0,0.02,NaN
19-Jan-2016 14:55:27,298.25,328.55,0.588672,0.785778,309.915,59,0,0.02,NaN
19-Jan-2016 14:55:28,298.3,328.65,0.596422,0.80043,309.929,59.1,0,0.02,NaN
19-Jan-2016 14:55:29,298.35,328.6,0.595152,0.78728,295.169,56.1,0,0.02,NaN
19-Jan-2016 14:55:30,298.3,328.4,0.56529,0.801226,301.399,57,0,0.02,NaN
