Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
02-May-2016 09:49:39,302.95,328.05,0.949921,1.14772,196.814,31.1,0,0.02,NaN
02-May-2016 09:49:40,302.95,328.1,0.954392,1.14651,194.282,30.7,0,0.02,NaN
02-May-2016 09:49:41,302.95,328.1,0.958864,1.14603,195.548,30.9,0,0.02,NaN
02-May-2016 09:49:42,302.95,328.1,0.963335,1.14814,197.447,31.2,0,0.02,NaN
02-May-2016 09:49:43,302.95,328.1,0.972725,1.1472,194.282,30.7,0,0.02,NaN
02-May-2016 09:49:44,302.9,328.1,0.949921,1.17512,193.897,30.7,0,0.02,NaN
02-May-2016 09:49:45,302.95,328.1,0.949921,1.14603,194.282,30.7,0,0.02,NaN
02-May-2016 09:49:46,302.95,328.15,0.954392,1.14768,196.423,31.1,0,0.02,NaN
02-May-2016 09:49:47,303.05,328.1,0.958863,1.1481,194.915,30.8,0,0.02,NaN
02-May-2016 09:49:48,303.1,328.15,0.972725,1.17664,194.035,30.6,0,0.02,NaN
02-May-2016 09:49:49,303.05,328.15,0.949921,1.14712,193.401,30.5,0,0.02,NaN
02-May-2016 09:49:50,303.05,328.2,0.954392,1.1475,180.993,28.6,0,0.02,NaN
02-May-2016 09:49:51,303.05,328.2,0.93606,1.14741,178.461,28.2,0,0.02,NaN
02-May-2016 09:49:52,303.05,328.2,0.931589,1.17561,179.094,28.3,0,0.02,NaN
02-May-2016 09:49:53,303.05,328.2,0.954392,1.14798,180.36,28.5,0,0.02,NaN
02-May-2016 09:49:54,303.05,328.2,0.968253,1.14662,180.993,28.6,0,0.02,NaN
02-May-2016 09:49:55,303.1,328.2,0.927117,1.17594,178.461,28.2,0,0.02,NaN
02-May-2016 09:49:56,303.15,328.2,0.927117,1.14765,179.809,28.3,0,0.02,NaN
02-May-2016 09:49:57,303.15,328.2,0.94545,1.14817,181.715,28.6,0,0.02,NaN
02-May-2016 09:49:58,303.15,328.2,0.954392,1.14859,179.809,28.3,0,0.02,NaN
02-May-2016 09:49:59,303.15,328.15,0.922646,1.14677,179.532,28.2,0,0.02,NaN
02-May-2016 09:50:00,303.15,328.1,0.940531,1.14639,182.444,28.6,0,0.02,NaN
02-May-2016 09:50:01,303.15,328.1,0.963335,1.14855,181.806,28.5,0,0.02,NaN
02-May-2016 09:50:02,303.15,328.1,0.954392,1.1484,197.116,30.9,0,0.02,NaN
02-May-2016 09:50:03,303.15,328.1,0.94545,1.17624,195.84,30.7,0,0.02,NaN
02-May-2016 09:50:04,303.2,328.1,0.922646,1.14805,198.151,31,0,0.02,NaN
02-May-2016 09:50:05,303.25,328.1,0.93606,1.14912,199.19,31.1,0,0.02,NaN
02-May-2016 09:50:06,303.3,328.1,0.931588,1.17674,197.666,30.8,0,0.02,NaN
02-May-2016 09:50:07,303.25,328.1,0.963335,1.14707,197.909,30.9,0,0.02,NaN
02-May-2016 09:50:08,303.25,328.1,0.954392,1.1473,199.83,31.2,0,0.02,NaN
02-May-2016 09:50:11,303.3,328.15,0.958864,1.17624,196.628,30.7,0,0.02,NaN
02-May-2016 09:50:12,303.35,328.15,0.949921,1.14775,190.607,29.7,0,0.02,NaN
02-May-2016 09:50:13,303.35,328.2,0.93606,1.14821,187.661,29.3,0,0.02,NaN
02-May-2016 09:50:14,303.35,328.2,0.949921,1.14798,181.256,28.3,0,0.02,NaN
02-May-2016 09:50:15,303.45,328.2,0.94545,1.14735,193.564,30.1,0,0.02,NaN
02-May-2016 09:50:16,303.45,328.2,0.954392,1.14859,184.561,28.7,0,0.02,NaN
02-May-2016 09:50:17,303.4,328.2,0.94545,1.17699,184.189,28.7,0,0.02,NaN
02-May-2016 09:50:18,303.45,328.2,0.954392,1.14784,181.622,28.3,0,0.02,NaN
02-May-2016 09:50:19,303.55,328.2,0.954392,1.14817,182.357,28.3,0,0.02,NaN
02-May-2016 09:50:20,303.55,328.2,0.940531,1.14817,185.31,28.7,0,0.02,NaN
02-May-2016 09:50:21,303.55,328.2,0.918174,1.17706,184.018,28.5,0,0.02,NaN
