Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
14-Apr-2016 13:20:04,306.6,328.1,0.571638,0.239597,493.432,66.5,0,0.02,NaN
14-Apr-2016 13:20:05,306.55,328.05,0.588785,0.239697,488.583,66,0,0.02,NaN
14-Apr-2016 13:20:06,306.6,328,0.573169,0.237522,503.943,67.6,0,0.02,NaN
14-Apr-2016 13:20:07,306.5,328,0.570107,0.237504,506.046,68.2,0,0.02,NaN
14-Apr-2016 13:20:08,306.55,328,0.571638,0.232791,511.24,68.9,0,0.02,NaN
14-Apr-2016 13:20:09,306.55,328,0.591847,0.239702,520.415,70.3,0,0.02,NaN
14-Apr-2016 13:20:10,306.55,328,0.576231,0.237204,509.756,68.7,0,0.02,NaN
14-Apr-2016 13:20:11,306.55,328.05,0.580976,0.239931,507.83,68.6,0,0.02,NaN
14-Apr-2016 13:20:12,306.55,328.1,0.596592,0.237692,495.986,67,0,0.02,NaN
14-Apr-2016 13:20:13,306.55,328.05,0.584038,0.23757,490.804,66.3,0,0.02,NaN
14-Apr-2016 13:20:14,306.55,328.05,0.598123,0.239807,491.544,66.4,0,0.02,NaN
14-Apr-2016 13:20:15,306.55,328.1,0.577915,0.239739,489.665,66.3,0,0.02,NaN
14-Apr-2016 13:20:16,306.5,328.1,0.563677,0.230373,489.269,66.4,0,0.02,NaN
14-Apr-2016 13:20:17,306.5,328.15,0.579446,0.239607,477.846,65,0,0.02,NaN
14-Apr-2016 13:20:18,306.55,328.15,0.576231,0.237126,471.584,64,0,0.02,NaN
14-Apr-2016 13:20:19,306.5,328.1,0.584039,0.239372,479.689,65.1,0,0.02,NaN
14-Apr-2016 13:20:20,306.5,328.1,0.577915,0.23936,487.404,66.3,0,0.02,NaN
14-Apr-2016 13:20:21,306.5,328.05,0.584039,0.239315,498.528,67.5,0,0.02,NaN
14-Apr-2016 13:20:22,306.55,328,0.574701,0.239265,511.24,68.9,0,0.02,NaN
14-Apr-2016 13:20:23,306.5,328.05,0.568577,0.239212,518.934,70.1,0,0.02,NaN
