Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
22-Jun-2016 12:43:03,303.95,333.1,0.64022,0.470394,510.607,116.7,0,0.025,NaN
22-Jun-2016 12:43:04,303.95,333.1,0.634096,0.475338,518.03,118.6,0,0.025,NaN
22-Jun-2016 12:43:05,303.95,333.1,0.624758,0.470108,518.92,118.6,0,0.025,NaN
22-Jun-2016 12:43:06,303.95,333.1,0.630881,0.465084,515.41,118,0,0.025,NaN
22-Jun-2016 12:43:07,303.95,333.05,0.638689,0.475106,524.145,120,0,0.025,NaN
22-Jun-2016 12:43:08,303.95,333.1,0.623226,0.470575,523.272,119.8,0,0.025,NaN
22-Jun-2016 12:43:09,304,333.15,0.630882,0.475073,510.17,116.6,0,0.025,NaN
22-Jun-2016 12:43:10,303.95,333.1,0.632565,0.465216,514.099,117.7,0,0.025,NaN
22-Jun-2016 12:43:11,303.95,333.1,0.635627,0.470393,516.271,118.4,0,0.025,NaN
22-Jun-2016 12:43:12,304,333.15,0.643588,0.475152,521.088,119.3,0,0.025,NaN
22-Jun-2016 12:43:13,304,333.15,0.655989,0.470389,511.042,117,0,0.025,NaN
22-Jun-2016 12:43:14,304.05,333.2,0.652927,0.470061,495.317,113.4,0,0.025,NaN
22-Jun-2016 12:43:15,304.05,333.25,0.652927,0.470801,494.059,113.5,0,0.025,NaN
22-Jun-2016 12:43:16,304.05,333.3,0.630881,0.470703,494.469,113.4,0,0.025,NaN
22-Jun-2016 12:43:17,304.05,333.3,0.61848,0.475045,494.033,113.3,0,0.025,NaN
22-Jun-2016 12:43:18,304.1,333.2,0.630881,0.465758,496.606,113.5,0,0.025,NaN
22-Jun-2016 12:43:19,304.05,333.2,0.649865,0.470943,496.191,113.6,0,0.025,NaN
22-Jun-2016 12:43:20,304.05,333.2,0.654458,0.475442,494.905,113.5,0,0.025,NaN
22-Jun-2016 12:43:21,304.1,333.25,0.638689,0.475087,491.386,112.5,0,0.025,NaN
22-Jun-2016 12:43:22,304.05,333.25,0.624757,0.466039,494.905,113.5,0,0.025,NaN
22-Jun-2016 12:43:23,304.05,333.3,0.630881,0.470879,491.012,112.8,0,0.025,NaN
