Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
09-Dec-2016 12:47:22,295.05,313.15,0.566139,0.404688,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:23,295.05,313.15,0.575084,0.415481,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:24,295.05,313.15,0.566139,0.411743,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:25,295.05,313.15,0.566138,0.411821,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:26,295.05,313.15,0.575084,0.411821,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:27,295.05,313.2,0.570611,0.408301,173.152,19.8,0,0.02,NaN
09-Dec-2016 12:47:28,295.05,313.2,0.575084,0.411821,173.152,19.8,0,0.02,NaN
09-Dec-2016 12:47:29,295.05,313.2,0.575084,0.415481,165.281,18.9,0,0.02,NaN
09-Dec-2016 12:47:30,295.05,313.25,0.58403,0.411743,162.229,18.5,0,0.02,NaN
09-Dec-2016 12:47:31,295.05,313.25,0.570611,0.404764,160.909,18.4,0,0.02,NaN
09-Dec-2016 12:47:32,295.05,313.25,0.57509,0.417177,155.662,17.8,0,0.02,NaN
09-Dec-2016 12:47:33,295.05,313.2,0.570624,0.423609,162.658,18.6,0,0.02,NaN
09-Dec-2016 12:47:34,295.05,313.25,0.566149,0.423609,156.09,17.8,0,0.02,NaN
09-Dec-2016 12:47:35,295.05,313.2,0.579563,0.428812,156.09,17.8,0,0.02,NaN
09-Dec-2016 12:47:36,295.05,313.2,0.570616,0.426868,156.09,17.8,0,0.02,NaN
09-Dec-2016 12:47:37,295.05,313.15,0.575088,0.435632,168.832,19.2,0,0.02,NaN
09-Dec-2016 12:47:38,295.05,313.15,0.575087,0.436405,173.229,19.7,0,0.02,NaN
09-Dec-2016 12:47:39,295.05,313.15,0.570614,0.43252,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:40,295.05,313.15,0.584032,0.428787,173.229,19.7,0,0.02,NaN
09-Dec-2016 12:47:41,295.05,313.15,0.57956,0.436738,173.229,19.7,0,0.02,NaN
09-Dec-2016 12:47:42,295.05,313.15,0.570614,0.436913,173.229,19.7,0,0.02,NaN
09-Dec-2016 12:47:43,295.05,313.15,0.570613,0.43327,173.229,19.7,0,0.02,NaN
09-Dec-2016 12:47:44,295.05,313.15,0.575086,0.429285,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:45,295.05,313.15,0.579558,0.429285,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:46,295.05,313.15,0.579558,0.437503,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:47,295.05,313.15,0.56122,0.437753,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:48,295.05,313.15,0.570613,0.433773,174.591,19.8,0,0.02,NaN
09-Dec-2016 12:47:49,295.05,313.15,0.570613,0.429702,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:47:50,295.05,313.1,0.588504,0.43767,174.591,19.8,0,0.02,NaN
09-Dec-2016 12:47:51,295.05,313.1,0.588502,0.437586,174.591,19.8,0,0.02,NaN
09-Dec-2016 12:47:52,295.05,313.1,0.59386,0.429751,174.591,19.8,0,0.02,NaN
09-Dec-2016 12:47:53,295.05,313.1,0.598324,0.418119,174.591,19.8,0,0.02,NaN
09-Dec-2016 12:47:54,295.05,313.1,0.598321,0.420328,174.591,19.8,0,0.02,NaN
09-Dec-2016 12:47:55,295.05,313.1,0.575062,0.420328,174.591,19.8,0,0.02,NaN
09-Dec-2016 12:47:56,295.05,313.1,0.566117,0.419623,174.591,19.8,0,0.02,NaN
09-Dec-2016 12:47:57,295.05,313.1,0.566118,0.415352,174.591,19.8,0,0.02,NaN
09-Dec-2016 12:47:58,295.05,313.1,0.579538,0.407969,183.408,20.8,0,0.02,NaN
09-Dec-2016 12:47:59,295.05,313.1,0.570592,0.418034,193.108,21.9,0,0.02,NaN
09-Dec-2016 12:48:00,295.05,313.1,0.579539,0.414415,193.108,21.9,0,0.02,NaN
09-Dec-2016 12:48:01,295.05,313.1,0.556727,0.414415,193.108,21.9,0,0.02,NaN
09-Dec-2016 12:48:02,295.05,313.1,0.584012,0.414338,193.108,21.9,0,0.02,NaN
09-Dec-2016 12:48:03,295.05,313.15,0.575066,0.407432,177.626,20.2,0,0.02,NaN
09-Dec-2016 12:48:04,295.05,313.15,0.56612,0.417802,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:48:05,295.05,313.15,0.584012,0.414184,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:48:06,295.05,313.15,0.56612,0.414184,174.108,19.8,0,0.02,NaN
09-Dec-2016 12:48:07,295.05,313.15,0.579539,0.407281,174.108,19.8,0,0.02,NaN
