Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
28-Oct-2016 14:30:13,305.35,333.25,0.684205,0.230982,365.733,96,0,0.03,NaN
28-Oct-2016 14:30:14,305.35,333.15,0.680412,0.222337,375.551,98.4,0,0.03,NaN
28-Oct-2016 14:30:15,305.4,333.15,0.66486,0.230087,376.228,98.4,0,0.03,NaN
28-Oct-2016 14:30:16,305.3,333.15,0.67074,0.229643,373.064,98.1,0,0.03,NaN
28-Oct-2016 14:30:17,305.35,333.2,0.649498,0.229643,358.114,94,0,0.03,NaN
28-Oct-2016 14:30:18,305.35,333.2,0.68231,0.229295,365.352,95.9,0,0.03,NaN
28-Oct-2016 14:30:19,305.3,333.15,0.674534,0.229029,362.686,95.2,0,0.03,NaN
28-Oct-2016 14:30:20,305.35,333.25,0.670741,0.22663,355.828,93.4,0,0.03,NaN
28-Oct-2016 14:30:21,305.35,333.25,0.672637,0.22692,359.374,94.5,0,0.03,NaN
28-Oct-2016 14:30:22,305.35,333.15,0.668844,0.22662,364.591,95.7,0,0.03,NaN
28-Oct-2016 14:30:23,305.35,333.2,0.670741,0.22048,373.353,98,0,0.03,NaN
28-Oct-2016 14:30:24,305.35,333.1,0.655188,0.226632,359.257,94.3,0,0.03,NaN
28-Oct-2016 14:30:25,305.35,333.15,0.67074,0.229014,374.115,98.2,0,0.03,NaN
28-Oct-2016 14:30:26,305.3,333.15,0.684206,0.227195,374.877,98.4,0,0.03,NaN
28-Oct-2016 14:30:27,305.35,333.1,0.695965,0.229538,379.749,99.5,0,0.03,NaN
28-Oct-2016 14:30:28,305.35,333.15,0.689896,0.22986,388.527,101.8,0,0.03,NaN
28-Oct-2016 14:30:29,305.3,333.1,0.687999,0.22986,382.571,100.6,0,0.03,NaN
28-Oct-2016 14:30:30,305.35,333.15,0.687999,0.230169,372.404,97.4,0,0.03,NaN
28-Oct-2016 14:30:31,305.35,333.15,0.672635,0.230356,383.639,100.7,0,0.03,NaN
28-Oct-2016 14:30:32,305.25,333.1,0.676428,0.224496,374.496,98.3,0,0.03,NaN
28-Oct-2016 14:30:33,305.3,333.2,0.682308,0.230861,374.496,98.3,0,0.03,NaN
28-Oct-2016 14:30:34,305.4,333.15,0.687998,0.230799,375.845,98.3,0,0.03,NaN
28-Oct-2016 14:30:35,305.4,333.25,0.687999,0.23044,375.551,98.4,0,0.03,NaN
28-Oct-2016 14:30:36,305.25,333.2,0.687999,0.230088,372.868,98.4,0,0.03,NaN
28-Oct-2016 14:30:37,305.3,333.25,0.68231,0.229736,373.536,98.4,0,0.03,NaN
28-Oct-2016 14:30:38,305.4,333.2,0.67074,0.229381,358.876,94.2,0,0.03,NaN
28-Oct-2016 14:30:39,305.4,333.15,0.653291,0.229107,370.589,97.1,0,0.03,NaN
28-Oct-2016 14:30:40,305.35,333.2,0.670741,0.220589,374.496,98.3,0,0.03,NaN
28-Oct-2016 14:30:41,305.4,333.15,0.666758,0.220589,380.131,99.6,0,0.03,NaN
28-Oct-2016 14:30:42,305.35,333.15,0.678328,0.226271,381.12,99.5,0,0.03,NaN
28-Oct-2016 14:30:43,305.45,333.2,0.689898,0.22795,379.368,99.4,0,0.03,NaN
28-Oct-2016 14:30:44,305.35,333.15,0.678328,0.22797,375.169,98.3,0,0.03,NaN
28-Oct-2016 14:30:45,305.35,333.15,0.688001,0.228088,375.551,98.4,0,0.03,NaN
28-Oct-2016 14:30:46,305.35,333.15,0.67074,0.226267,372.498,97.6,0,0.03,NaN
28-Oct-2016 14:30:47,305.3,333.15,0.689896,0.229273,384.782,101,0,0.03,NaN
28-Oct-2016 14:30:48,305.35,333.15,0.695965,0.229597,375.169,98.3,0,0.03,NaN
28-Oct-2016 14:30:49,305.4,333.15,0.695965,0.221654,367.051,96,0,0.03,NaN
28-Oct-2016 14:30:50,305.35,333.2,0.699758,0.230217,373.734,98.1,0,0.03,NaN
28-Oct-2016 14:30:51,305.3,333.2,0.697861,0.230359,373.444,98.2,0,0.03,NaN
28-Oct-2016 14:30:52,305.3,333.2,0.694068,0.230624,374.585,98.5,0,0.03,NaN
28-Oct-2016 14:30:53,305.35,333.2,0.670739,0.230798,375.639,98.6,0,0.03,NaN
28-Oct-2016 14:30:56,305.35,333.15,0.695965,0.230391,375.639,98.6,0,0.03,NaN
28-Oct-2016 14:30:57,305.3,333.15,0.695965,0.230044,368.781,96.8,0,0.03,NaN
28-Oct-2016 14:30:58,305.35,333.15,0.680413,0.223461,376.314,98.6,0,0.03,NaN
28-Oct-2016 14:30:59,305.35,333.1,0.692173,0.229176,372.404,97.4,0,0.03,NaN
