Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
18-Jan-2016 13:01:44,298.15,328.15,0.422467,0.2305,461.563,87,0,0.02,NaN
18-Jan-2016 13:01:45,298.15,328.15,0.425008,0.232637,462.093,87.1,0,0.02,NaN
18-Jan-2016 13:01:46,298.15,328.15,0.426279,0.230738,462.093,87.1,0,0.02,NaN
18-Jan-2016 13:01:47,298.15,328.1,0.417257,0.232731,462.333,87,0,0.02,NaN
18-Jan-2016 13:01:48,298.15,328.1,0.427804,0.230356,462.333,87,0,0.02,NaN
18-Jan-2016 13:01:49,298.1,328.05,0.427804,0.232691,461.802,86.9,0,0.02,NaN
18-Jan-2016 13:01:50,298.15,328.05,0.431616,0.223461,462.574,86.9,0,0.02,NaN
18-Jan-2016 13:01:51,298.15,328.05,0.432887,0.230208,462.574,86.9,0,0.02,NaN
18-Jan-2016 13:01:52,298.15,328.1,0.419799,0.232637,462.333,87,0,0.02,NaN
18-Jan-2016 13:01:53,298.15,328.1,0.422467,0.230446,468.71,88.2,0,0.02,NaN
18-Jan-2016 13:01:54,298.15,328.15,0.430345,0.23277,468.46,88.3,0,0.02,NaN
18-Jan-2016 13:01:55,298.15,328.15,0.434157,0.230356,461.563,87,0,0.02,NaN
18-Jan-2016 13:01:56,298.1,328.15,0.412046,0.232783,460.795,87,0,0.02,NaN
18-Jan-2016 13:01:57,298.15,328.15,0.423737,0.230493,462.624,87.2,0,0.02,NaN
18-Jan-2016 13:01:58,298.15,328.1,0.425008,0.225845,463.396,87.2,0,0.02,NaN
18-Jan-2016 13:01:59,298.15,328.1,0.417257,0.230454,463.396,87.2,0,0.02,NaN
18-Jan-2016 13:02:00,298.2,328.1,0.435555,0.230493,464.171,87.2,0,0.02,NaN
18-Jan-2016 13:02:01,298.15,328.1,0.429074,0.232783,463.928,87.3,0,0.02,NaN
18-Jan-2016 13:02:02,298.15,328.1,0.429074,0.232822,463.396,87.2,0,0.02,NaN
18-Jan-2016 13:02:03,298.2,328,0.426279,0.230956,487.627,91.3,0,0.02,NaN
18-Jan-2016 13:02:04,298.15,328.1,0.430345,0.230531,485.184,91.3,0,0.02,NaN
18-Jan-2016 13:02:05,298.15,328.1,0.419798,0.233057,464.459,87.4,0,0.02,NaN
18-Jan-2016 13:02:06,298.15,328.1,0.435555,0.223506,463.928,87.3,0,0.02,NaN
18-Jan-2016 13:02:07,298.15,328.1,0.430345,0.232869,463.928,87.3,0,0.02,NaN
18-Jan-2016 13:02:08,298.15,328.1,0.443306,0.230539,463.928,87.3,0,0.02,NaN
18-Jan-2016 13:02:09,298.15,328.05,0.448389,0.232963,464.704,87.3,0,0.02,NaN
18-Jan-2016 13:02:10,298.2,328.1,0.413445,0.232963,464.171,87.2,0,0.02,NaN
18-Jan-2016 13:02:11,298.2,328.1,0.427804,0.230586,471.091,88.5,0,0.02,NaN
18-Jan-2016 13:02:12,298.2,328.1,0.415985,0.231012,473.22,88.9,0,0.02,NaN
18-Jan-2016 13:02:13,298.2,328.1,0.431615,0.226103,464.171,87.2,0,0.02,NaN
18-Jan-2016 13:02:14,298.15,328.1,0.445847,0.231074,469.773,88.4,0,0.02,NaN
18-Jan-2016 13:02:15,298.2,328.1,0.448389,0.23301,464.171,87.2,0,0.02,NaN
18-Jan-2016 13:02:16,298.25,328.1,0.448389,0.230586,464.416,87.1,0,0.02,NaN
18-Jan-2016 13:02:17,298.2,328.05,0.425007,0.230586,470.281,88.2,0,0.02,NaN
18-Jan-2016 13:02:18,298.15,328,0.436825,0.233049,485.21,91,0,0.02,NaN
18-Jan-2016 13:02:19,298.15,328,0.444577,0.230578,485.743,91.1,0,0.02,NaN
18-Jan-2016 13:02:20,298.2,328,0.447118,0.232869,486.024,91,0,0.02,NaN
18-Jan-2016 13:02:21,298.25,328,0.439367,0.223737,486.306,90.9,0,0.02,NaN
18-Jan-2016 13:02:22,298.15,328,0.426279,0.232963,500.14,93.8,0,0.02,NaN
18-Jan-2016 13:02:23,298.2,328,0.435555,0.230586,506.854,94.9,0,0.02,NaN
18-Jan-2016 13:02:24,298.2,328,0.434155,0.231304,506.854,94.9,0,0.02,NaN
18-Jan-2016 13:02:25,298.15,328,0.430339,0.226373,505.472,94.8,0,0.02,NaN
18-Jan-2016 13:02:26,298.25,328.05,0.443298,0.225701,506.32,94.8,0,0.02,NaN
18-Jan-2016 13:02:27,298.15,328.05,0.436817,0.226297,483.867,90.9,0,0.02,NaN
18-Jan-2016 13:02:28,298.2,328.1,0.427795,0.228173,483.867,90.9,0,0.02,NaN
18-Jan-2016 13:02:29,298.15,328.15,0.435547,0.219426,461.563,87,0,0.02,NaN
18-Jan-2016 13:02:30,298.15,328.15,0.438089,0.226153,461.032,86.9,0,0.02,NaN
18-Jan-2016 13:02:31,298.2,328.2,0.439359,0.225701,461.563,87,0,0.02,NaN
18-Jan-2016 13:02:32,298.25,328.15,0.43415,0.225652,463.107,87,0,0.02,NaN
18-Jan-2016 13:02:33,298.2,328.15,0.41979,0.225645,462.865,87.1,0,0.02,NaN
18-Jan-2016 13:02:34,298.2,328.15,0.438089,0.225517,462.865,87.1,0,0.02,NaN
18-Jan-2016 13:02:35,298.25,328.15,0.438089,0.225372,463.639,87.1,0,0.02,NaN
18-Jan-2016 13:02:36,298.2,328.1,0.431609,0.22319,463.639,87.1,0,0.02,NaN
18-Jan-2016 13:02:37,298.2,328.1,0.427796,0.22319,463.639,87.1,0,0.02,NaN
18-Jan-2016 13:02:38,298.25,328.1,0.429067,0.218987,464.416,87.1,0,0.02,NaN
18-Jan-2016 13:02:39,298.25,328.05,0.427796,0.225416,473.206,88.6,0,0.02,NaN
18-Jan-2016 13:02:40,298.2,328,0.422459,0.225372,498.309,93.3,0,0.02,NaN
18-Jan-2016 13:02:41,298.2,328,0.43415,0.225416,508.456,95.2,0,0.02,NaN
18-Jan-2016 13:02:42,298.25,328,0.429067,0.22551,509.846,95.3,0,0.02,NaN
18-Jan-2016 13:02:43,298.25,328,0.43415,0.22551,508.776,95.1,0,0.02,NaN
