Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
09-Mar-2016 10:23:36,296.35,328.2,0.509349,0.338524,331.812,66.4,0,0.02,NaN
09-Mar-2016 10:23:37,296.35,328.25,0.501598,0.336325,325.304,65.2,0,0.02,NaN
09-Mar-2016 10:23:38,296.35,328.25,0.517101,0.338581,312.831,62.7,0,0.02,NaN
09-Mar-2016 10:23:39,296.45,328.25,0.471734,0.338581,313.815,62.7,0,0.02,NaN
09-Mar-2016 10:23:40,296.4,328.25,0.484696,0.3316,307.326,61.5,0,0.02,NaN
09-Mar-2016 10:23:41,296.4,328.25,0.495117,0.336388,301.829,60.4,0,0.02,NaN
09-Mar-2016 10:23:42,296.45,328.25,0.484696,0.336388,313.314,62.6,0,0.02,NaN
09-Mar-2016 10:23:43,296.4,328.25,0.521168,0.336325,312.822,62.6,0,0.02,NaN
09-Mar-2016 10:23:44,296.35,328.2,0.484696,0.338518,331.812,66.4,0,0.02,NaN
09-Mar-2016 10:23:45,296.4,328.25,0.488762,0.338518,313.322,62.7,0,0.02,NaN
09-Mar-2016 10:23:46,296.4,328.25,0.508079,0.331594,313.822,62.8,0,0.02,NaN
09-Mar-2016 10:23:47,296.4,328.25,0.531461,0.336262,313.322,62.7,0,0.02,NaN
09-Mar-2016 10:23:48,296.4,328.25,0.500327,0.336262,312.323,62.5,0,0.02,NaN
09-Mar-2016 10:23:49,296.4,328.25,0.534003,0.338518,313.322,62.7,0,0.02,NaN
09-Mar-2016 10:23:50,296.45,328.3,0.491304,0.336136,313.822,62.8,0,0.02,NaN
09-Mar-2016 10:23:51,296.4,328.25,0.488763,0.331594,313.822,62.8,0,0.02,NaN
09-Mar-2016 10:23:52,296.4,328.2,0.488763,0.331594,314.315,62.8,0,0.02,NaN
09-Mar-2016 10:23:53,296.4,328.2,0.522439,0.338581,314.315,62.8,0,0.02,NaN
09-Mar-2016 10:23:54,296.4,328.2,0.518372,0.336067,313.815,62.7,0,0.02,NaN
09-Mar-2016 10:23:55,296.4,328.25,0.51062,0.336067,313.822,62.8,0,0.02,NaN
09-Mar-2016 10:23:56,296.45,328.2,0.519897,0.338321,314.81,62.8,0,0.02,NaN
09-Mar-2016 10:23:57,296.4,328.2,0.508079,0.331525,314.816,62.9,0,0.02,NaN
09-Mar-2016 10:23:58,296.4,328.2,0.52498,0.331525,314.315,62.8,0,0.02,NaN
09-Mar-2016 10:23:59,296.45,328.2,0.480757,0.335941,314.309,62.7,0,0.02,NaN
09-Mar-2016 10:24:00,296.45,328.2,0.531461,0.338315,314.309,62.7,0,0.02,NaN
09-Mar-2016 10:24:01,296.45,328.2,0.457374,0.338315,314.309,62.7,0,0.02,NaN
09-Mar-2016 10:24:02,296.4,328.1,0.506808,0.335758,314.805,62.7,0,0.02,NaN
09-Mar-2016 10:24:03,296.4,328.1,0.504267,0.331401,315.307,62.8,0,0.02,NaN
09-Mar-2016 10:24:04,296.4,328.05,0.497786,0.331401,332.903,66.2,0,0.02,NaN
09-Mar-2016 10:24:05,296.4,328.05,0.527649,0.338644,334.411,66.5,0,0.02,NaN
09-Mar-2016 10:24:06,296.45,328.1,0.517101,0.336004,328.377,65.3,0,0.02,NaN
09-Mar-2016 10:24:07,296.45,328.1,0.519897,0.336004,334.411,66.5,0,0.02,NaN
09-Mar-2016 10:24:08,296.4,328.1,0.482155,0.338252,334.386,66.6,0,0.02,NaN
09-Mar-2016 10:24:09,296.45,328.05,0.488763,0.331401,335.948,66.7,0,0.02,NaN
09-Mar-2016 10:24:10,296.4,328.05,0.452292,0.335758,335.92,66.8,0,0.02,NaN
09-Mar-2016 10:24:11,296.4,327.95,0.505538,0.335758,347.578,68.9,0,0.02,NaN
09-Mar-2016 10:24:12,296.45,328,0.510621,0.338195,356.154,70.6,0,0.02,NaN
09-Mar-2016 10:24:13,296.4,327.95,0.492576,0.331141,356.154,70.6,0,0.02,NaN
09-Mar-2016 10:24:14,296.45,327.95,0.508079,0.331141,357.225,70.7,0,0.02,NaN
09-Mar-2016 10:24:15,296.45,328,0.532733,0.337928,356.154,70.6,0,0.02,NaN
09-Mar-2016 10:24:16,296.45,328.05,0.52892,0.338385,349.043,69.3,0,0.02,NaN
09-Mar-2016 10:24:17,296.45,328.1,0.497785,0.338385,354.526,70.5,0,0.02,NaN
09-Mar-2016 10:24:18,296.45,328.15,0.534004,0.335676,340.913,67.9,0,0.02,NaN
09-Mar-2016 10:24:19,296.4,328.2,0.521169,0.333331,314.816,62.9,0,0.02,NaN
09-Mar-2016 10:24:20,296.45,328.3,0.51329,0.333331,295.832,59.2,0,0.02,NaN
09-Mar-2016 10:24:21,296.4,328.3,0.497786,0.335613,295.368,59.2,0,0.02,NaN
09-Mar-2016 10:24:22,296.45,328.35,0.504267,0.337744,294.869,59.1,0,0.02,NaN
09-Mar-2016 10:24:23,296.4,328.35,0.534004,0.337744,294.906,59.2,0,0.02,NaN
09-Mar-2016 10:24:24,296.4,328.35,0.546966,0.337617,294.408,59.1,0,0.02,NaN
09-Mar-2016 10:24:25,296.45,328.35,0.521169,0.330886,295.368,59.2,0,0.02,NaN
09-Mar-2016 10:24:26,296.45,328.35,0.530191,0.330886,294.869,59.1,0,0.02,NaN
09-Mar-2016 10:24:27,296.4,328.35,0.52765,0.337738,294.408,59.1,0,0.02,NaN
09-Mar-2016 10:24:28,296.4,328.3,0.500328,0.335947,294.869,59.1,0,0.02,NaN
09-Mar-2016 10:24:29,296.4,328.3,0.502869,0.337865,294.869,59.1,0,0.02,NaN
09-Mar-2016 10:24:30,296.4,328.25,0.466652,0.337865,313.322,62.7,0,0.02,NaN
09-Mar-2016 10:24:31,296.45,328.2,0.50935,0.330954,314.81,62.8,0,0.02,NaN
09-Mar-2016 10:24:32,296.4,328.15,0.508083,0.338074,314.81,62.8,0,0.02,NaN
09-Mar-2016 10:24:33,296.45,328.1,0.488772,0.338074,314.799,62.6,0,0.02,NaN
09-Mar-2016 10:24:34,296.4,328.1,0.474414,0.347115,315.307,62.8,0,0.02,NaN
09-Mar-2016 10:24:35,296.4,328.1,0.499067,0.343621,315.307,62.8,0,0.02,NaN
