Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
12-Oct-2016 06:39:46,298.05,333.35,0.694786,0.145598,101.999,18.1,0,0.016,0.03
12-Oct-2016 06:39:47,298.05,333.35,0.705865,0.145535,101.999,18.1,0,0.016,0.03
12-Oct-2016 06:39:48,298.05,333.35,0.711404,0.145535,102.562,18.2,0,0.016,0.03
12-Oct-2016 06:39:49,298.05,333.25,0.716944,0.145475,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:39:50,298.05,333.25,0.711405,0.146395,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:39:51,298.05,333.25,0.711405,0.146395,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:39:52,298.05,333.25,0.716944,0.146298,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:39:53,298.05,333.25,0.711405,0.145288,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:39:54,298.05,333.25,0.716944,0.145288,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:39:55,298.05,333.25,0.716944,0.146238,113.026,20,0,0.016,0.03
12-Oct-2016 06:39:56,298.05,333.25,0.711404,0.146238,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:39:57,298.05,333.25,0.711404,0.14099,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:39:58,298.05,333.25,0.716944,0.14548,112.142,19.9,0,0.016,0.03
12-Oct-2016 06:39:59,298.05,333.35,0.711405,0.14548,101.999,18.1,0,0.016,0.03
12-Oct-2016 06:40:00,298.05,333.35,0.705866,0.145415,101.999,18.1,0,0.016,0.03
12-Oct-2016 06:40:01,298.05,333.35,0.716944,0.146213,102.562,18.2,0,0.016,0.03
12-Oct-2016 06:40:02,298.05,333.35,0.711405,0.146213,101.999,18.1,0,0.016,0.03
12-Oct-2016 06:40:03,298.05,333.35,0.716945,0.145233,101.999,18.1,0,0.016,0.03
12-Oct-2016 06:40:04,298.05,333.25,0.705866,0.146089,101.999,18.1,0,0.016,0.03
12-Oct-2016 06:40:05,298.05,333.35,0.722484,0.146089,101.999,18.1,0,0.016,0.03
12-Oct-2016 06:40:06,298.05,333.35,0.716945,0.145173,96.6373,17.1,0,0.016,0.03
12-Oct-2016 06:40:07,298.05,333.25,0.711406,0.146089,102.854,18.2,0,0.016,0.03
12-Oct-2016 06:40:08,298.05,333.25,0.716945,0.146089,102.289,18.1,0,0.016,0.03
12-Oct-2016 06:40:09,298.05,333.25,0.705867,0.141431,102.854,18.2,0,0.016,0.03
12-Oct-2016 06:40:10,298.05,333.25,0.705867,0.145105,102.854,18.2,0,0.016,0.03
12-Oct-2016 06:40:11,298.05,333.15,0.705867,0.145105,108.247,19.1,0,0.016,0.03
12-Oct-2016 06:40:12,298.05,333.15,0.700328,0.146023,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:13,298.05,333.15,0.711406,0.145938,113.915,20.1,0,0.016,0.03
12-Oct-2016 06:40:14,298.05,333.15,0.722485,0.145938,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:15,298.05,333.15,0.722485,0.145904,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:16,298.05,333.15,0.694789,0.145904,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:17,298.05,333.15,0.711406,0.145929,113.915,20.1,0,0.016,0.03
12-Oct-2016 06:40:18,298.05,333.15,0.711405,0.146059,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:19,298.05,333.15,0.705866,0.146059,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:20,298.05,333.15,0.705866,0.145233,113.915,20.1,0,0.016,0.03
12-Oct-2016 06:40:21,298.05,333.15,0.711405,0.141522,113.915,20.1,0,0.016,0.03
12-Oct-2016 06:40:22,298.05,333.15,0.716945,0.141522,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:40:23,298.05,333.25,0.716944,0.146114,103.419,18.3,0,0.016,0.03
12-Oct-2016 06:40:24,298.05,333.25,0.711405,0.145415,102.289,18.1,0,0.016,0.03
12-Oct-2016 06:40:25,298.05,333.25,0.700326,0.145415,102.854,18.2,0,0.016,0.03
12-Oct-2016 06:40:26,298.05,333.25,0.711405,0.145294,102.854,18.2,0,0.016,0.03
12-Oct-2016 06:40:27,298.05,333.25,0.711405,0.145288,102.289,18.1,0,0.016,0.03
12-Oct-2016 06:40:28,298.05,333.25,0.711406,0.145288,102.289,18.1,0,0.016,0.03
12-Oct-2016 06:40:29,298.05,333.25,0.716946,0.146172,102.58,18.1,0,0.016,0.03
12-Oct-2016 06:40:30,298.05,333.15,0.716949,0.146274,110.514,19.5,0,0.016,0.03
12-Oct-2016 06:40:31,298.05,333.15,0.71695,0.146274,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:32,298.05,333.15,0.72249,0.147595,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:33,298.05,333.15,0.72249,0.143753,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:34,298.05,333.15,0.71695,0.143753,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:35,298.05,333.15,0.728583,0.148642,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:36,298.05,333.15,0.711411,0.147712,114.482,20.2,0,0.016,0.03
12-Oct-2016 06:40:37,298.05,333.15,0.711411,0.147712,113.915,20.1,0,0.016,0.03
12-Oct-2016 06:40:38,298.05,333.15,0.711411,0.148747,113.915,20.1,0,0.016,0.03
12-Oct-2016 06:40:39,298.05,333.15,0.71695,0.148778,113.591,20.1,0,0.016,0.03
12-Oct-2016 06:40:40,298.05,333.25,0.722489,0.148778,110.2,19.5,0,0.016,0.03
12-Oct-2016 06:40:41,298.05,333.25,0.711411,0.148772,105.114,18.6,0,0.016,0.03
12-Oct-2016 06:40:42,298.05,333.25,0.711411,0.148803,102.289,18.1,0,0.016,0.03
12-Oct-2016 06:40:43,298.05,333.25,0.71695,0.148803,102.289,18.1,0,0.016,0.03
12-Oct-2016 06:40:44,298.05,333.25,0.728582,0.148798,102.289,18.1,0,0.016,0.03
12-Oct-2016 06:40:45,298.05,333.25,0.722489,0.143923,102.289,18.1,0,0.016,0.03
