Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
17-Mar-2016 11:19:33,298.3,328.2,0.58865,0.45255,394.439,74.1,0,0.02,NaN
17-Mar-2016 11:19:34,298.35,328.25,0.621055,0.45255,394.439,74.1,0,0.02,NaN
17-Mar-2016 11:19:35,298.3,328.3,0.612033,0.447812,373.495,70.4,0,0.02,NaN
17-Mar-2016 11:19:36,298.4,328.4,0.610762,0.451798,358.64,67.6,0,0.02,NaN
17-Mar-2016 11:19:37,298.35,328.4,0.606696,0.45145,333.149,62.9,0,0.02,NaN
17-Mar-2016 11:19:38,298.45,328.45,0.600215,0.451281,334.235,63,0,0.02,NaN
17-Mar-2016 11:19:39,298.3,328.5,0.605425,0.442975,332.022,63,0,0.02,NaN
17-Mar-2016 11:19:40,298.35,328.45,0.585982,0.451103,333.125,63,0,0.02,NaN
17-Mar-2016 11:19:41,298.3,328.45,0.591193,0.451271,333.1,63.1,0,0.02,NaN
17-Mar-2016 11:19:42,298.3,328.45,0.58217,0.451356,330.989,62.7,0,0.02,NaN
17-Mar-2016 11:19:43,298.35,328.4,0.596402,0.447215,335.268,63.3,0,0.02,NaN
17-Mar-2016 11:19:44,298.3,328.35,0.592463,0.451271,353.276,66.7,0,0.02,NaN
17-Mar-2016 11:19:45,298.3,328.25,0.580899,0.452061,354.987,66.8,0,0.02,NaN
17-Mar-2016 11:19:46,298.2,328.2,0.615846,0.451027,353.865,66.7,0,0.02,NaN
17-Mar-2016 11:19:47,298.35,328.2,0.601486,0.451027,373.239,70,0,0.02,NaN
17-Mar-2016 11:19:48,298.3,328.1,0.58217,0.442975,373.331,69.9,0,0.02,NaN
17-Mar-2016 11:19:49,298.35,328.1,0.615846,0.450858,374.493,70,0,0.02,NaN
17-Mar-2016 11:19:50,298.25,328.1,0.574292,0.451713,395.1,74.1,0,0.02,NaN
17-Mar-2016 11:19:51,298.3,328,0.585983,0.454873,415.316,77.5,0,0.02,NaN
17-Mar-2016 11:19:52,298.3,328,0.607967,0.442393,419.603,78.3,0,0.02,NaN
17-Mar-2016 11:19:53,298.25,328.05,0.562601,0.450576,405.376,75.9,0,0.02,NaN
17-Mar-2016 11:19:54,298.25,328.05,0.58217,0.451281,399.501,74.8,0,0.02,NaN
17-Mar-2016 11:19:55,298.3,328.1,0.597674,0.454721,390.956,73.2,0,0.02,NaN
17-Mar-2016 11:19:56,298.3,328.15,0.585983,0.442153,375.371,70.4,0,0.02,NaN
17-Mar-2016 11:19:57,298.25,328.1,0.595132,0.454293,375.905,70.5,0,0.02,NaN
17-Mar-2016 11:19:58,298.25,328.2,0.579375,0.4499,374.65,70.5,0,0.02,NaN
17-Mar-2016 11:19:59,298.25,328.2,0.576834,0.45383,367.741,69.2,0,0.02,NaN
17-Mar-2016 11:20:00,298.2,328.2,0.580901,0.45383,358.109,67.5,0,0.02,NaN
