Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
22-Jun-2016 14:49:10,314.85,333.2,0.599617,0.563691,475.388,68.7,0,0.025,NaN
22-Jun-2016 14:49:11,314.85,333.25,0.585688,0.575748,497.499,71.7,0,0.025,NaN
22-Jun-2016 14:49:12,314.9,333.25,0.582472,0.578295,506.519,73,0,0.025,NaN
22-Jun-2016 14:49:13,314.85,333.25,0.618452,0.567569,503.744,72.6,0,0.025,NaN
22-Jun-2016 14:49:14,314.95,333.25,0.610644,0.586435,482.16,69.3,0,0.025,NaN
22-Jun-2016 14:49:15,314.9,333.2,0.638663,0.586245,486.335,69.9,0,0.025,NaN
22-Jun-2016 14:49:16,314.9,333.25,0.619984,0.580139,491.205,70.6,0,0.025,NaN
22-Jun-2016 14:49:17,314.9,333.15,0.637132,0.592898,503.713,72.2,0,0.025,NaN
22-Jun-2016 14:49:18,314.9,333.15,0.604519,0.593308,493.248,70.7,0,0.025,NaN
22-Jun-2016 14:49:19,314.95,333.2,0.591811,0.587696,510.69,73.2,0,0.025,NaN
22-Jun-2016 14:49:20,314.9,333.2,0.598088,0.588559,480.232,69.4,0,0.025,NaN
22-Jun-2016 14:49:21,314.95,333.25,0.598088,0.588471,481.54,69.4,0,0.025,NaN
22-Jun-2016 14:49:22,314.95,333.25,0.618451,0.595166,479.377,68.9,0,0.025,NaN
22-Jun-2016 14:49:23,314.95,333.3,0.593341,0.589223,481.54,69.4,0,0.025,NaN
22-Jun-2016 14:49:24,314.9,333.3,0.621516,0.588171,455.32,65.8,0,0.025,NaN
22-Jun-2016 14:49:25,314.95,333.3,0.606055,0.60214,451.01,65,0,0.025,NaN
22-Jun-2016 14:49:26,314.95,333.25,0.604524,0.619304,477.29,68.6,0,0.025,NaN
22-Jun-2016 14:49:27,314.95,333.25,0.629327,0.599625,477.29,68.6,0,0.025,NaN
22-Jun-2016 14:49:28,315,333.15,0.607585,0.620322,486.846,69.4,0,0.025,NaN
22-Jun-2016 14:49:29,314.95,333.2,0.623202,0.614079,484.876,69.5,0,0.025,NaN
22-Jun-2016 14:49:30,314.95,333.15,0.610647,0.620568,481.311,68.8,0,0.025,NaN
22-Jun-2016 14:49:31,315,333.2,0.593346,0.607555,484.742,69.1,0,0.025,NaN
22-Jun-2016 14:49:32,314.95,333.1,0.577882,0.615004,485.443,69.2,0,0.025,NaN
22-Jun-2016 14:49:33,315.05,333.1,0.607585,0.622162,490.249,69.5,0,0.025,NaN
22-Jun-2016 14:49:34,315.05,333.1,0.584006,0.608482,490.249,69.5,0,0.025,NaN
22-Jun-2016 14:49:35,315.05,333.05,0.604522,0.614692,509.295,72,0,0.025,NaN
22-Jun-2016 14:49:36,315,333.05,0.601154,0.615001,512.822,72.7,0,0.025,NaN
22-Jun-2016 14:49:37,315,333.05,0.613862,0.622166,512.116,72.6,0,0.025,NaN
22-Jun-2016 14:49:38,315.05,333.05,0.632541,0.608777,500.099,70.7,0,0.025,NaN
22-Jun-2016 14:49:39,315.05,333.15,0.591814,0.615788,502.964,71.5,0,0.025,NaN
