Time,T_bed,T_surf,eps,w,h,P_el,mDot_p,d_t,p_h
23-Feb-2016 12:51:58,300.25,328.1,0.524984,0.227682,501.36,131.6,0,0.03,NaN
23-Feb-2016 12:51:59,300.25,328.15,0.509354,0.223533,493.236,129.7,0,0.03,NaN
23-Feb-2016 12:52:00,300.25,328.1,0.509354,0.22772,489.549,128.5,0,0.03,NaN
23-Feb-2016 12:52:01,300.25,328.1,0.528924,0.229848,496.026,130.2,0,0.03,NaN
23-Feb-2016 12:52:02,300.25,328.1,0.514564,0.229848,499.074,131,0,0.03,NaN
23-Feb-2016 12:52:03,300.2,328.15,0.526255,0.229933,492.353,129.7,0,0.03,NaN
23-Feb-2016 12:52:04,300.35,328.15,0.521172,0.227682,488.14,127.9,0,0.03,NaN
23-Feb-2016 12:52:05,300.3,328.15,0.501602,0.229976,488.788,128.3,0,0.03,NaN
23-Feb-2016 12:52:06,300.3,328.2,0.518376,0.229972,478.785,125.9,0,0.03,NaN
23-Feb-2016 12:52:07,300.25,328.15,0.518376,0.2301,484.489,127.4,0,0.03,NaN
23-Feb-2016 12:52:08,300.25,328.2,0.522443,0.221565,479.826,126.4,0,0.03,NaN
23-Feb-2016 12:52:09,300.3,328.15,0.517105,0.227842,475.072,124.7,0,0.03,NaN
23-Feb-2016 12:52:10,300.25,328.2,0.526255,0.229886,472.613,124.5,0,0.03,NaN
23-Feb-2016 12:52:11,300.25,328.2,0.528924,0.22963,472.993,124.6,0,0.03,NaN
23-Feb-2016 12:52:12,300.25,328.2,0.541886,0.229578,473.373,124.7,0,0.03,NaN
23-Feb-2016 12:52:13,300.3,328.15,0.519901,0.229497,476.596,125.1,0,0.03,NaN
23-Feb-2016 12:52:14,300.35,328.15,0.524985,0.229616,485.087,127.1,0,0.03,NaN
23-Feb-2016 12:52:15,300.3,328.15,0.521172,0.22989,484.216,127.1,0,0.03,NaN
23-Feb-2016 12:52:16,300.3,328.15,0.510625,0.22989,488.788,128.3,0,0.03,NaN
23-Feb-2016 12:52:17,300.35,328.15,0.502873,0.223317,489.667,128.3,0,0.03,NaN
23-Feb-2016 12:52:18,300.25,328.15,0.505541,0.229616,489.813,128.8,0,0.03,NaN
23-Feb-2016 12:52:19,300.35,328.15,0.508084,0.229535,490.048,128.4,0,0.03,NaN
23-Feb-2016 12:52:20,300.25,328.2,0.524985,0.229493,483.243,127.3,0,0.03,NaN
23-Feb-2016 12:52:21,300.3,328.15,0.514565,0.231619,480.025,126,0,0.03,NaN
23-Feb-2016 12:52:22,300.35,328.2,0.522443,0.229531,475.453,124.8,0,0.03,NaN
23-Feb-2016 12:52:23,300.3,328.2,0.519902,0.229578,474.221,124.7,0,0.03,NaN
23-Feb-2016 12:52:24,300.4,328.2,0.515835,0.229933,475.927,124.7,0,0.03,NaN
23-Feb-2016 12:52:25,300.3,328.2,0.530195,0.221392,475.362,125,0,0.03,NaN
23-Feb-2016 12:52:26,300.3,328.15,0.487243,0.231878,474.691,124.6,0,0.03,NaN
23-Feb-2016 12:52:27,300.3,328.15,0.527653,0.229659,488.407,128.2,0,0.03,NaN
23-Feb-2016 12:52:28,300.35,328.1,0.537947,0.229886,490.549,128.3,0,0.03,NaN
23-Feb-2016 12:52:29,300.3,328.1,0.499061,0.229668,503.788,132,0,0.03,NaN
23-Feb-2016 12:52:30,300.3,328.1,0.508083,0.229668,503.788,132,0,0.03,NaN
23-Feb-2016 12:52:31,300.3,328.15,0.506813,0.229668,498.312,130.8,0,0.03,NaN
23-Feb-2016 12:52:32,300.35,328.15,0.508083,0.229668,498.826,130.7,0,0.03,NaN
23-Feb-2016 12:52:33,300.3,328.15,0.528924,0.23001,488.406,128.2,0,0.03,NaN
23-Feb-2016 12:52:34,300.4,328.2,0.506812,0.223446,489.667,128.3,0,0.03,NaN
23-Feb-2016 12:52:35,300.3,328.2,0.504271,0.229711,477.263,125.5,0,0.03,NaN
23-Feb-2016 12:52:36,300.3,328.15,0.522443,0.229715,474.311,124.5,0,0.03,NaN
23-Feb-2016 12:52:37,300.35,328.2,0.531466,0.229848,474.691,124.6,0,0.03,NaN
23-Feb-2016 12:52:38,300.35,328.2,0.519901,0.229668,477.358,125.3,0,0.03,NaN
23-Feb-2016 12:52:39,300.35,328.15,0.518376,0.229749,480.125,125.8,0,0.03,NaN
23-Feb-2016 12:52:40,300.3,328.15,0.518377,0.229659,483.454,126.9,0,0.03,NaN
23-Feb-2016 12:52:41,300.35,328.15,0.517106,0.229715,489.667,128.3,0,0.03,NaN
23-Feb-2016 12:52:42,300.45,328.15,0.528924,0.22352,495.648,129.4,0,0.03,NaN
23-Feb-2016 12:52:43,300.35,328.1,0.517106,0.229753,504.696,132,0,0.03,NaN
23-Feb-2016 12:52:44,300.25,328.15,0.509354,0.229792,502.363,132.1,0,0.03,NaN
23-Feb-2016 12:52:45,300.4,328.15,0.517106,0.229792,490.931,128.4,0,0.03,NaN
23-Feb-2016 12:52:46,300.3,328.15,0.505542,0.229787,476.596,125.1,0,0.03,NaN
23-Feb-2016 12:52:47,300.35,328.2,0.512023,0.229672,474.311,124.5,0,0.03,NaN
23-Feb-2016 12:52:48,300.35,328.2,0.528924,0.231873,478.882,125.7,0,0.03,NaN
23-Feb-2016 12:52:49,300.35,328.15,0.519901,0.229706,475.164,124.5,0,0.03,NaN
23-Feb-2016 12:52:50,300.3,328.2,0.506812,0.227702,475.362,125,0,0.03,NaN
